Name,Internal ID,BC SKU,Display Name,Description,Purchase Description,Vendor Name,Store Display Name,Store Description,Primary Units Type,Primary Stock Unit,Primary Purchase Unit,Primary Sale Unit,Purchase Price
212415,4444,212415,Highwood Whisky 1750ml 6/cs,Highwood Whisky 1750ml 6/cs,,,,,Case(6),Case(6),Case(6),Case(6),
212423,4446,212423,Marushka Vodka 1750ml 6/cs,Marushka Vodka 1750ml 6/cs,,,,,Case(6),Case(6),Case(6),Case(6),
CA100230,4447,231167,Bols Vodka 1750ml 6/cs,Bols Vodka 1750ml 6/cs,,,,,Case(6),Case(6),Case(6),Case(6),
238816,4448,238816,Highwood White Rum 1750ml 6/cs,Highwood White Rum 1750ml 6/cs,,,,,Case(6),Case(6),Case(6),Case(6),
246611,4450,,White Lightning Vodka 1140ml 12/cs,White Lightning Vodka 1140ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
246629,4452,,White Lightning Vodka 750ml Glass 12/cs,White Lightning Vodka 750ml Glass 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
254144,4454,254144,Berezan Vodka 200ml 24/cs,Berezan Vodka 200ml 24/cs,,,,,Case(24),Case(24),Case(24),Case(24),
270983,4455,,White Lightning Vodka 1750ml 6/cs,White Lightning Vodka 1750ml 6/cs,,,,,Case(6),Case(6),Case(6),Case(6),
271445,4457,271445,Potter's Margarita 1140ml 12/cs,Potter's Margarita 1140ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
103700,4459,274134,Potter's Long Island Iced Tea 1140ml 12/cs,Potter's Long Island Iced Tea 1140ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
282525,4461,,Long Island Iced Tea 1140ml 12/cs,Long Island Iced Tea 1140ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
292128,4463,292128,Highwood Whisky 375ml 24/cs,Highwood Whisky 375ml 24/cs,,,,,Case(24),Case(24),Case(24),Case(24),
297051,4465,297051,Long Island Iced Tea 750ml 12/cs,Long Island Iced Tea 750ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
308692,4467,308692,Sahara Dry Gin 1750ml 6/cs,Sahara Dry Gin 1750ml 6/cs,,,,,Case(6),Case(6),Case(6),Case(6),
322370,4469,322370,Highwood Vodka 750ml 12/cs,Highwood Vodka 750ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
322388,4472,,Highwood Vodka 1140ml 12/cs,Highwood Vodka 1140ml 12/cs,,,,,Case(12),Case(12),Case(12),Case(12),
322396,4474,322396,Highwood Vodka 1750ml 6/cs,Highwood Vodka 1750ml 6/cs,,,,,Case(6),Case(6),Case(6),Case(6),
